epoch,loss,val_accuracy,val_precision,val_recall,val_f1
1,0.7050187587738037,0.9518459069020867,0.4032258064516129,0.32051282051282054,0.35714285714285715
2,0.6085289120674133,0.8758694489031568,0.21052631578947367,0.717948717948718,0.32558139534883723
3,0.5381875038146973,0.8014981273408239,0.15529411764705883,0.8461538461538461,0.2624254473161034
4,0.47316136956214905,0.763509898341359,0.14031620553359683,0.9102564102564102,0.24315068493150685
5,0.408674418926239,0.7431781701444623,0.1358695652173913,0.9615384615384616,0.23809523809523808
6,0.3611268401145935,0.7533440342429106,0.14338919925512103,0.9871794871794872,0.25040650406504067
7,0.3251056373119354,0.7854467629748528,0.15711252653927812,0.9487179487179487,0.26958105646630237
8,0.29348015785217285,0.8341359015516319,0.19148936170212766,0.9230769230769231,0.31718061674008813
9,0.26458194851875305,0.8758694489031568,0.23809523809523808,0.8974358974358975,0.3763440860215054
10,0.24461983144283295,0.9031567683253077,0.2863070539419087,0.8846153846153846,0.43260188087774293
11,0.21043582260608673,0.9095773140716961,0.30131004366812225,0.8846153846153846,0.4495114006514658
12,0.20234188437461853,0.907972177635099,0.3008474576271186,0.9102564102564102,0.45222929936305734
13,0.19805589318275452,0.9058319957196361,0.29583333333333334,0.9102564102564102,0.44654088050314467
14,0.18277986347675323,0.913322632423756,0.3157894736842105,0.9230769230769231,0.47058823529411764
15,0.1733568161725998,0.9272338148742643,0.3592233009708738,0.9487179487179487,0.5211267605633803
16,0.149436354637146,0.9390048154093098,0.4032258064516129,0.9615384615384616,0.5681818181818182
17,0.1513604074716568,0.9406099518459069,0.4098360655737705,0.9615384615384616,0.5747126436781609
18,0.1449379175901413,0.9395398608881755,0.40641711229946526,0.9743589743589743,0.5735849056603773
19,0.12892110645771027,0.9363295880149812,0.39378238341968913,0.9743589743589743,0.5608856088560885
20,0.12329582870006561,0.9357945425361156,0.3917525773195876,0.9743589743589743,0.5588235294117647
21,0.12282394617795944,0.9406099518459069,0.4098360655737705,0.9615384615384616,0.5747126436781609
22,0.10872916132211685,0.9497057249866239,0.45180722891566266,0.9615384615384616,0.6147540983606558
23,0.10829206556081772,0.9550561797752809,0.4807692307692308,0.9615384615384616,0.6410256410256411
24,0.1010364219546318,0.9604066345639379,0.5136986301369864,0.9615384615384616,0.6696428571428571
25,0.09547700732946396,0.9625468164794008,0.528169014084507,0.9615384615384616,0.6818181818181818
26,0.08317841589450836,0.9630818619582665,0.5319148936170213,0.9615384615384616,0.684931506849315
27,0.09040115773677826,0.962011771000535,0.5238095238095238,0.9871794871794872,0.6844444444444444
28,0.082750603556633,0.9609416800428037,0.5170068027210885,0.9743589743589743,0.6755555555555556
29,0.07836747914552689,0.9646869983948636,0.5434782608695652,0.9615384615384616,0.6944444444444444
30,0.07586884498596191,0.9689673622257892,0.578125,0.9487179487179487,0.7184466019417476
31,0.06754756718873978,0.9727126805778491,0.6115702479338843,0.9487179487179487,0.7437185929648241
32,0.07103312760591507,0.9727126805778491,0.6115702479338843,0.9487179487179487,0.7437185929648241
33,0.07335033267736435,0.9678972712680578,0.5692307692307692,0.9487179487179487,0.7115384615384616
34,0.061819810420274734,0.9662921348314607,0.5539568345323741,0.9871794871794872,0.7096774193548387
35,0.0586378313601017,0.9673622257891921,0.5620437956204379,0.9871794871794872,0.7162790697674418
36,0.0589011088013649,0.9732477260567148,0.6147540983606558,0.9615384615384616,0.75
37,0.05279654636979103,0.9785981808453719,0.6727272727272727,0.9487179487179487,0.7872340425531915
38,0.05184102803468704,0.9823434991974318,0.7227722772277227,0.9358974358974359,0.8156424581005587
39,0.05568574368953705,0.9818084537185661,0.7115384615384616,0.9487179487179487,0.8131868131868132
40,0.048815999180078506,0.976457998929909,0.6491228070175439,0.9487179487179487,0.7708333333333334
41,0.04515770450234413,0.9769930444087748,0.6521739130434783,0.9615384615384616,0.7772020725388601
42,0.04383549466729164,0.9807383627608347,0.6944444444444444,0.9615384615384616,0.8064516129032258
43,0.0427934005856514,0.985553772070626,0.7628865979381443,0.9487179487179487,0.8457142857142858
44,0.04024502635002136,0.9876939539860888,0.7956989247311828,0.9487179487179487,0.8654970760233918
45,0.03801608830690384,0.9892990904226859,0.8222222222222222,0.9487179487179487,0.8809523809523809
46,0.03594347462058067,0.9887640449438202,0.8131868131868132,0.9487179487179487,0.8757396449704142
47,0.0399852991104126,0.9839486356340289,0.74,0.9487179487179487,0.8314606741573034
48,0.03894592821598053,0.9807383627608347,0.6981132075471698,0.9487179487179487,0.8043478260869565
49,0.041918978095054626,0.9780631353665061,0.6666666666666666,0.9487179487179487,0.783068783068783
50,0.04181607440114021,0.9780631353665061,0.6666666666666666,0.9487179487179487,0.783068783068783
51,0.039105284959077835,0.9823434991974318,0.7184466019417476,0.9487179487179487,0.8176795580110497
52,0.030615011230111122,0.9871589085072231,0.8,0.9230769230769231,0.8571428571428571
53,0.03485872969031334,0.9876939539860888,0.8160919540229885,0.9102564102564102,0.8606060606060606
54,0.028139661997556686,0.9871589085072231,0.8068181818181818,0.9102564102564102,0.8554216867469879
55,0.029895920306444168,0.9860888175494917,0.782608695652174,0.9230769230769231,0.8470588235294118
56,0.026024607941508293,0.985553772070626,0.7684210526315789,0.9358974358974359,0.8439306358381503
57,0.025751672685146332,0.9850187265917603,0.7604166666666666,0.9358974358974359,0.8390804597701149
58,0.02615511044859886,0.985553772070626,0.7684210526315789,0.9358974358974359,0.8439306358381503
59,0.026763644069433212,0.9876939539860888,0.8089887640449438,0.9230769230769231,0.8622754491017964
60,0.025955183431506157,0.9892990904226859,0.8372093023255814,0.9230769230769231,0.8780487804878049
61,0.01991393230855465,0.9892990904226859,0.8372093023255814,0.9230769230769231,0.8780487804878049
62,0.021831713616847992,0.9892990904226859,0.8372093023255814,0.9230769230769231,0.8780487804878049
63,0.025652579963207245,0.9866238630283574,0.7912087912087912,0.9230769230769231,0.8520710059171598
64,0.02057694084942341,0.9866238630283574,0.7912087912087912,0.9230769230769231,0.8520710059171598
65,0.021029142662882805,0.9866238630283574,0.7912087912087912,0.9230769230769231,0.8520710059171598
66,0.019916074350476265,0.9876939539860888,0.8089887640449438,0.9230769230769231,0.8622754491017964
67,0.01890895888209343,0.9882289994649546,0.8181818181818182,0.9230769230769231,0.8674698795180723
68,0.018388552591204643,0.990904226859283,0.8674698795180723,0.9230769230769231,0.8944099378881988
69,0.016517233103513718,0.990904226859283,0.8765432098765432,0.9102564102564102,0.8930817610062893
70,0.01791311986744404,0.9898341359015517,0.8554216867469879,0.9102564102564102,0.8819875776397516
71,0.01765473745763302,0.9892990904226859,0.8372093023255814,0.9230769230769231,0.8780487804878049
72,0.017154445871710777,0.9882289994649546,0.8181818181818182,0.9230769230769231,0.8674698795180723
73,0.01598341017961502,0.9871589085072231,0.8,0.9230769230769231,0.8571428571428571
74,0.01580950617790222,0.9887640449438202,0.8275862068965517,0.9230769230769231,0.8727272727272727
75,0.015408910810947418,0.9898341359015517,0.8554216867469879,0.9102564102564102,0.8819875776397516
76,0.017360571771860123,0.9919743178170144,0.8987341772151899,0.9102564102564102,0.9044585987261147
77,0.015025869011878967,0.990904226859283,0.8765432098765432,0.9102564102564102,0.8930817610062893
78,0.01680801436305046,0.9898341359015517,0.8470588235294118,0.9230769230769231,0.8834355828220859
79,0.017460113391280174,0.9876939539860888,0.8021978021978022,0.9358974358974359,0.863905325443787
80,0.016604339703917503,0.9871589085072231,0.7934782608695652,0.9358974358974359,0.8588235294117647
81,0.01693831756711006,0.9876939539860888,0.8021978021978022,0.9358974358974359,0.863905325443787
82,0.01565546542406082,0.9903691813804173,0.8488372093023255,0.9358974358974359,0.8902439024390244
83,0.01373386848717928,0.9903691813804173,0.875,0.8974358974358975,0.8860759493670886
84,0.013608978129923344,0.9903691813804173,0.875,0.8974358974358975,0.8860759493670886
85,0.012868952937424183,0.9903691813804173,0.875,0.8974358974358975,0.8860759493670886
86,0.015110458247363567,0.9898341359015517,0.8554216867469879,0.9102564102564102,0.8819875776397516
87,0.014278913848102093,0.9887640449438202,0.8352941176470589,0.9102564102564102,0.8711656441717791
88,0.011137828230857849,0.9887640449438202,0.8352941176470589,0.9102564102564102,0.8711656441717791
89,0.012209611013531685,0.9887640449438202,0.8352941176470589,0.9102564102564102,0.8711656441717791
90,0.012775504030287266,0.9898341359015517,0.8554216867469879,0.9102564102564102,0.8819875776397516
91,0.012794715352356434,0.990904226859283,0.8765432098765432,0.9102564102564102,0.8930817610062893
92,0.010616815648972988,0.9925093632958801,0.9210526315789473,0.8974358974358975,0.9090909090909091
93,0.014716087840497494,0.9914392723381488,0.8974358974358975,0.8974358974358975,0.8974358974358975
94,0.011673076078295708,0.9898341359015517,0.8641975308641975,0.8974358974358975,0.8805031446540881
95,0.030796721577644348,0.9892990904226859,0.8536585365853658,0.8974358974358975,0.875
96,0.012239575386047363,0.9892990904226859,0.8452380952380952,0.9102564102564102,0.8765432098765432
97,0.014096117578446865,0.9892990904226859,0.8452380952380952,0.9102564102564102,0.8765432098765432
98,0.012297197245061398,0.9903691813804173,0.8658536585365854,0.9102564102564102,0.8875
99,0.011722295545041561,0.9914392723381488,0.8875,0.9102564102564102,0.8987341772151899
100,0.011654753237962723,0.9930444087747459,0.922077922077922,0.9102564102564102,0.9161290322580645
